Compound_CID,SMILES,Carcinogenicity
880,CC(=O)C=O,Group 3: Not classifiable as to its carcinogenicity to humans
887,CO,No indication of carcinogenicity to humans (not listed by IARC).
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,No indication of carcinogenicity to humans (not listed by IARC).
931,C1=CC=C2C=CC=CC2=C1,Group 2B: Possibly carcinogenic to humans
934,[Ni+2],Metallic nickel is possibly carcinogenic to humons (Group 2B). Nickel compounds are carcinogenic to humans (Group 1). (L135)
935,[Ni],Group 2B: Possibly carcinogenic to humans
936,C1=CC(=CN=C1)C(=O)N,No indication of carcinogenicity to humans (not listed by IARC).
937,C1=CC(=CN=C1)C(=O)[O-],No indication of carcinogenicity to humans (not listed by IARC).
938,C1=CC(=CN=C1)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
942,CN1CCCC1C2=CN=CC=C2,No indication of carcinogenicity to humans (not listed by IARC).
943,[N+](=O)([O-])[O-],Ingested nitrate or nitrite under conditions that result in endogenous nitrosation is probably carcinogenic to humans (Group 2A). (L135)
944,[N+](=O)(O)[O-],Ingested nitrate or nitrite under conditions that result in endogenous nitrosation is probably carcinogenic to humans (Group 2A). (L135)
949,CN(C)C1=CC=CC=C1,Group 3: Not classifiable as to its carcinogenicity to humans
965,CCCCCCCCC=CCCCCCCCC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
967,C1=C(NC(=O)NC1=O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
971,C(=O)(C(=O)O)O,No indication of carcinogenicity (not listed by IARC). (L135)
978,C1=CC(=CC=C1C(=O)O)N,Group 3: Not classifiable as to its carcinogenicity to humans
980,C1=CC(=CC=C1[N+](=O)[O-])O,No indication of carcinogenicity to humans (not listed by IARC).
985,CCCCCCCCCCCCCCCC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
991,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],Group 2B: Possibly carcinogenic to humans
992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,"2B, possibly carcinogenic to humans. (L135)"
995,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,Group 3: Not classifiable as to its carcinogenicity to humans
996,C1=CC=C(C=C1)O,Group 3: Not classifiable as to its carcinogenicity to humans
998,C1=CC=C(C=C1)CC=O,Not listed by IARC.
999,C1=CC=C(C=C1)CC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
1004,OP(=O)(O)O,No indication of carcinogenicity to humans (not listed by IARC).
1021,C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
1030,CC(CO)O,No indication of carcinogenicity to humans (not listed by IARC).
1032,CCC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
1045,C(CCN)CN,Not listed by IARC.
1046,C1=CN=C(C=N1)C(=O)N,Not Available
1049,C1=CC=NC=C1,Group 2B: Possibly carcinogenic to humans
1054,CC1=NC=C(C(=C1O)CO)CO,No indication of carcinogenicity to humans (not listed by IARC).
1057,C1=CC(=C(C(=C1)O)O)O,Not Available
1060,CC(=O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
1072,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
1088,CNCC(=O)O,Not listed by IARC. Has been implicated in oncogenesis (A15089).
1089,O[Se](=O)(=O)O,"3, not classifiable as to its carcinogenicity to humans. (L135)"
1091,O[Se](=O)O,"3, not classifiable as to its carcinogenicity to humans. (L135)"
1099,[O-]S(=O)[O-],Group 3: Not classifiable as to its carcinogenicity to humans
1102,C(CCNCCCN)CN,No indication of carcinogenicity to humans (not listed by IARC).
1103,C(CCNCCCN)CNCCCN,No indication of carcinogenicity to humans (not listed by IARC).
1110,C(CC(=O)O)C(=O)O,Not listed by IARC. Has been implicated in oncogenesis (A15088).
1118,OS(=O)(=O)O,Occupational exposures to strong inorganic acid mists containing sulfuric acid are carcinogenic to humans (Group 1). (L135)
1119,O=S=O,Group 3: Not classifiable as to its carcinogenicity to humans
1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,No indication of carcinogenicity to humans (not listed by IARC).
1140,CC1=CC=CC=C1,Group 3: Not classifiable as to its carcinogenicity to humans
1145,C[N+](C)(C)[O-],No indication of carcinogenicity to humans (not listed by IARC).
1146,CN(C)C,No indication of carcinogenicity to humans (not listed by IARC).
1182,CC(C)C(C(=O)O)N,No indication of carcinogenicity to humans (not listed by IARC).
1183,COC1=C(C=CC(=C1)C=O)O,No indication of carcinogenicity to humans (not listed by IARC).
1188,C1=NC2=C(N1)C(=O)NC(=O)N2,No indication of carcinogenicity to humans (not listed by IARC).
1196,C1CC(N=C1)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
1204,C1CC2C(CC1N2)C3=CN=C(C=C3)Cl,No indication of carcinogenicity to humans (not listed by IARC).
1233,C1=C(ONC1=O)C(C(=O)O)N,No indication of carcinogenicity to humans (not listed by IARC).
1254,CC1CCC(C(C1)O)C(C)C,No indication of carcinogenicity to humans (not listed by IARC).
1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,No indication of carcinogenicity to humans (not listed by IARC).
1322,CNNC,Group 2A: Probably carcinogenic to humans
1388,CN1CCC(=CC1)C2=CC=CC=C2,No indication of carcinogenicity to humans (not listed by IARC).
1480,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,"2B, possibly carcinogenic to humans. (L135)"
1483,C1=C(C=C(C(=C1Br)O)Br)Br,No indication of carcinogenicity to humans (not listed by IARC).
1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,Group 2B: Possibly carcinogenic to humans
1489,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,"2B, possibly carcinogenic to humans. (L135)"
1493,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,No indication of carcinogenicity to humans (not listed by IARC).
1530,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,Group 2B: Possibly carcinogenic to humans
1593,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,Not Available
1639,C1=NNC(=N1)N,Group 3: Not classifiable as to its carcinogenicity to humans
1647,C(CN)C#N,No indication of carcinogenicity to humans (not listed by IARC).
1662,CC(CC(=O)O)(CC(=O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
1670,COC1=C(C=CC(=C1)CC(C(=O)O)N)O,No indication of carcinogenicity to humans (not listed by IARC).
1678,C(C[N+](=O)[O-])C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
1693,CCCCCC(C=CC=O)O,No indication of carcinogenicity to humans (not listed by IARC).
1727,C1=CN=CC=C1N,No indication of carcinogenicity to humans (not listed by IARC).
1752,CCCCCCCCCC1=CC=C(C=C1)O,No indication of carcinogenicity to humans (not listed by IARC).
1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,Group 2B: Possibly carcinogenic to humans
1807,C1C(COCO1)([N+](=O)[O-])Br,No indication of carcinogenicity (not listed by IARC). (L135)
1923,C1=CC2=C(C(=C1)O)N=CC=C2,Group 3: Not classifiable as to its carcinogenicity to humans
1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,No indication of carcinogenicity to humans (not listed by IARC).
1982,CC(=O)NP(=O)(OC)SC,No indication of carcinogenicity to humans (not listed by IARC).
1983,CC(=O)NC1=CC=C(C=C1)O,Group 3: Not classifiable as to its carcinogenicity to humans
1985,CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O,"3, not classifiable as to its carcinogenicity to humans. (L135)"
1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,No indication of carcinogenicity to humans (not listed by IARC).
1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Not Available
2078,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,No indication of carcinogenicity to humans (not listed by IARC).
2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,No indication of carcinogenicity to humans (not listed by IARC).
2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,No indication of carcinogenicity to humans (not listed by IARC).
2086,CC(C)(C=NOC(=O)NC)SC,"3, not classifiable as to its carcinogenicity to humans. (L135)"
2088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,No indication of carcinogenicity to humans (not listed by IARC).
2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,No indication of carcinogenicity to humans (not listed by IARC).
2130,C1C2CC3CC1CC(C2)(C3)N,No indication of carcinogenicity to humans (not listed by IARC).
2131,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl,No indication of carcinogenicity to humans (not listed by IARC).
2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,No indication of carcinogenicity to humans (not listed by IARC).
2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,Group 3: Not classifiable as to its carcinogenicity to humans
2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,No indication of carcinogenicity to humans (not listed by IARC).
2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,No indication of carcinogenicity to humans (not listed by IARC).
2164,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,No indication of carcinogenicity to humans (not listed by IARC).
2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,No indication of carcinogenicity to humans (not listed by IARC).
2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,Group 2B: Possibly carcinogenic to humans
2180,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
2181,C1CCNC(C1)C2=CN=CC=C2,No indication of carcinogenicity to humans (not listed by IARC).
2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,No indication of carcinogenicity to humans (not listed by IARC).
2193,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,No indication of carcinogenicity to humans (not listed by IARC).
2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Group 3: Not classifiable as to its carcinogenicity to humans
2230,CN1CCC=C(C1)C(=O)OC,Group 2B: Possibly carcinogenic to humans
2236,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,Group 1: Carcinogenic to humans
2244,CC(=O)OC1=CC=CC=C1C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
2247,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,No indication of carcinogenicity to humans (not listed by IARC).
2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,No indication of carcinogenicity to humans (not listed by IARC).
2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,Group 3: Not classifiable as to its carcinogenicity to humans
2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Group 1: Carcinogenic to humans
2266,C(CCCC(=O)O)CCCC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
2267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,No indication of carcinogenicity to humans (not listed by IARC).
2268,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,Spraying and application of nonarsenical insecticides entail exposures that are probably carcinogenic to humans (Group 2A). (L135)
2276,CCC(C)C1C(=O)NCC(=O)NC2CS(=O)C3=C(CC(C(=O)NCC(=O)N1)NC(=O)C(NC(=O)C4CC(CN4C(=O)C(NC2=O)CC(=O)O)O)C(C)C(CO)O)C5=C(N3)C=C(C=C5)O,No indication of carcinogenicity to humans (not listed by IARC).
2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,No indication of carcinogenicity to humans (not listed by IARC).
2286,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,Group 3: Not classifiable as to its carcinogenicity to humans
2314,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,No indication of carcinogenicity to humans (not listed by IARC).
2319,CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],No indication of carcinogenicity to humans (not listed by IARC).
2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,No indication of carcinogenicity to humans (not listed by IARC).
2336,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,Group 1: Carcinogenic to humans
2337,CCOC(=O)C1=CC=C(C=C1)N,No indication of carcinogenicity to humans (not listed by IARC).
2341,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,No indication of carcinogenicity to humans (not listed by IARC).
2343,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,No indication of carcinogenicity to humans (not listed by IARC).
2347,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,Group 3: Not classifiable as to its carcinogenicity to humans
2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,Group 2A: Probably carcinogenic to humans
2365,C1COC1=O,Group 2B: Possibly carcinogenic to humans
2370,CC(C[N+](C)(C)C)OC(=O)N,No indication of carcinogenicity to humans (not listed by IARC).
2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,No indication of carcinogenicity to humans (not listed by IARC).
2381,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,No indication of carcinogenicity to humans (not listed by IARC).
2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,No indication of carcinogenicity to humans (not listed by IARC).
2441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,No indication of carcinogenicity to humans (not listed by IARC).
2444,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br,No indication of carcinogenicity to humans (not listed by IARC).
2450,C(C(CO)([N+](=O)[O-])Br)O,No indication of carcinogenicity (not listed by IARC). (L135)
2451,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,No indication of carcinogenicity to humans (not listed by IARC).
2453,C1=CC2=C(C(=C(C=C2Br)Br)O)N=C1,No indication of carcinogenicity to humans (not listed by IARC).
2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,No indication of carcinogenicity to humans (not listed by IARC).
2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,Group 1: Carcinogenic to humans
2479,CCC(C)C1(C(=O)NC(=O)NC1=O)CC,No indication of carcinogenicity to humans (not listed by IARC).
2513,C[As](=O)(C)O,Group 2B: Possibly carcinogenic to humans
2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Group 3: Not classifiable as to its carcinogenicity to humans
2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,No indication of carcinogenicity to humans (not listed by IARC).
2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,No indication of carcinogenicity to humans (not listed by IARC).
2564,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,No indication of carcinogenicity to humans (not listed by IARC).
2566,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,No indication of carcinogenicity to humans (not listed by IARC).
2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,No indication of carcinogenicity to humans (not listed by IARC).
2578,C(CCl)NC(=O)N(CCCl)N=O,Group 2A: Probably carcinogenic to humans
2603,C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N,No indication of carcinogenicity to humans (not listed by IARC).
2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,No indication of carcinogenicity to humans (not listed by IARC).
2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,No indication of carcinogenicity to humans (not listed by IARC).
2681,CCCCCCCCCCCCCCCC[N+](C)(C)C,No indication of carcinogenicity to humans (not listed by IARC).
2682,CCCCCCCCCCCCCCCCO,No indication of carcinogenicity to humans (not listed by IARC).
2703,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5,No indication of carcinogenicity to humans (not listed by IARC).
2707,C(C(Cl)(Cl)Cl)(O)O,Group 2A: Probably carcinogenic to humans
2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Group 1: Carcinogenic to humans
2712,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,No indication of carcinogenicity to humans (not listed by IARC).
2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,No indication of carcinogenicity to humans (not listed by IARC).
2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,Group 3: Not classifiable as to its carcinogenicity to humans
2725,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,No indication of carcinogenicity to humans (not listed by IARC).
2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,No indication of carcinogenicity to humans (not listed by IARC).
2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Not Available
2728,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,Group 3: Not classifiable as to its carcinogenicity to humans
2730,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,Spraying and application of nonarsenical insecticides entail exposures that are probably carcinogenic to humans (Group 2A). (L135)
2749,CC1=CC(=O)N(C(=C1)C2CCCCC2)O,No indication of carcinogenicity to humans (not listed by IARC).
2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N,Group 3: Not classifiable as to its carcinogenicity to humans
2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
2769,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,No indication of carcinogenicity to humans (not listed by IARC).
2771,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,No indication of carcinogenicity to humans (not listed by IARC).
2789,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,No indication of carcinogenicity to humans (not listed by IARC).
2795,CN(C)CCC(C1=CC=CC=C1)(C2=CC=CC=C2Cl)O,No indication of carcinogenicity to humans (not listed by IARC).
2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,Group 3: Not classifiable as to its carcinogenicity to humans
